"O_trunc" "O_eps" "eps_speed" "prob"
6 1 0.357142857142857 0.515052035097622
5 1 0.307692307692308 0.529358256223626
7 1 0.294117647058824 0.451863649953601
13 1.44444444444444 0.444444444444444 0.580717172021428
3 1 0.454545454545455 0.620115726844803
4 1 0.384615384615385 0.582908830476289
4 1 0.384615384615385 0.577980051922154
4 1.5 0.5 0.6957649076862
5 1.30769230769231 0.307692307692308 0.567098237409003
3 1 0.454545454545455 0.654542695459128
5 1 0.357142857142857 0.521937867452664
6 1 0.294117647058824 0.442734606127278
5 1 0.285714285714286 0.528414963042287
7 1 0.222222222222222 0.413317667228327
6 1 0.25 0.483394323518919
6 1 0.235294117647059 0.442913634130715
6 1 0.181818181818182 0.372562408081482
6 1.30769230769231 0.307692307692308 0.533082522116246
9 1.25 0.25 0.396066966933797
9 1 0.357142857142857 0.50464121537616
