"O_trunc" "O_eps" "eps_speed" "prob"
28 -5.5 0.5 0.628279131031571
28 -5.5 0.5 0.628279131031571
28 -5.5 0.5 0.628279131031571
28 -5.5 0.5 0.628279131031571
19 -1.23076923076923 0.384615384615385 0.58620509205167
21 -0.875 0.375 0.599507305205599
21 -0.875 0.375 0.599507305432691
20 -1.25 0.375 0.608817817459385
33 -2.63157894736842 0.421052631578947 0.634762516811841
28 -5.5 0.5 0.628279131031571
25 -1.14285714285714 0.285714285714286 0.560725141948984
25 -0.733333333333333 0.266666666666667 0.517446039669697
30 -2 0.333333333333333 0.583954651282987
28 -5.5 0.5 0.628279131031571
28 -5.5 0.5 0.628279131031571
28 -5.5 0.5 0.628279131031571
28 -5.5 0.5 0.628279131031571
28 -5.5 0.5 0.628279131031571
28 -5.5 0.5 0.628279131031571
28 -5.5 0.5 0.628279131031571
28 -5.5 0.5 0.628279131031571
28 -5.5 0.5 0.628279131031571
26 -5.52941176470588 0.470588235294118 0.556250722846751
33 -2.63157894736842 0.421052631578947 0.634762516811841
28 -5.5 0.5 0.628279131031571
28 -5.5 0.5 0.628279131031571
26 -5.52941176470588 0.470588235294118 0.556250722846751
33 -2.63157894736842 0.421052631578947 0.634762516811841
28 -5.5 0.5 0.628279131031571
28 -5.5 0.5 0.628279131031571
28 -5.5 0.5 0.628279131031571
28 -5.5 0.5 0.628279131031571
28 -5.5 0.5 0.628279131031571
28 -5.5 0.5 0.628279131031571
28 -5.5 0.5 0.628279131031571
26 -5.52941176470588 0.470588235294118 0.556250722846751
33 -2.63157894736842 0.421052631578947 0.634762516811841
28 -5.5 0.5 0.628279131031571
28 -5.5 0.5 0.628279131031571
18 -1.23076923076923 0.384615384615385 0.585992144028927
18 -0.875 0.375 0.599312518687582
18 -0.875 0.375 0.599271673966603
19 -0.875 0.375 0.599336573137766
16 -1.29411764705882 0.352941176470588 0.56486031994785
28 -5.5 0.5 0.628279131031571
28 -5.5 0.5 0.628279131031571
28 -5.5 0.5 0.628279131031571
28 -5.5 0.5 0.628279131031571
28 -5.5 0.5 0.628279131031571
28 -5.5 0.5 0.628279131031571
