"O_trunc" "O_eps" "eps_speed" "prob"
28 1 20 0.664342113028986
28 1 20 0.664342113028986
28 1 20 0.664342113028986
28 1 20 0.664342113028986
15 1 20 0.397612389959146
16 1 20 0.45154883523554
16 1 20 0.451548835244165
16 1 20 0.440242506590499
28 1 20 0.630552682099767
28 1 20 0.664342113028986
21 1 20 0.403932992499867
22 1 20 0.417645882357947
26 1 20 0.48340409628829
28 1 20 0.664342113028986
28 1 20 0.664342113028986
28 1 20 0.664342113028986
28 1 20 0.664342113028986
28 1 20 0.664342113028986
28 1 20 0.664342113028986
28 1 20 0.664342113028986
28 1 20 0.664342113028986
28 1 20 0.664342113028986
27 1 20 0.622636608347857
28 1 20 0.630552682099767
28 1 20 0.664342113028986
28 1 20 0.664342113028986
27 1 20 0.622636608347857
28 1 20 0.630552682099767
28 1 20 0.664342113028986
28 1 20 0.664342113028986
28 1 20 0.664342113028986
28 1 20 0.664342113028986
28 1 20 0.664342113028986
28 1 20 0.664342113028986
28 1 20 0.664342113028986
27 1 20 0.622636608347857
28 1 20 0.630552682099767
28 1 20 0.664342113028986
28 1 20 0.664342113028986
14 1 20 0.396632379366407
13 1 20 0.452394500923973
13 1 20 0.454366647214245
14 1 20 0.452415549444491
12 1 20 0.4060162968526
28 1 20 0.664342113028986
28 1 20 0.664342113028986
28 1 20 0.664342113028986
28 1 20 0.664342113028986
28 1 20 0.664342113028986
28 1 20 0.664342113028986
