"O_trunc" "O_eps" "eps_speed" "prob"
6 1 20 0.524750008956424
5 1 20 0.541046033441345
7 1 20 0.457702659272241
13 21 20 0.57323335466839
3 1 20 0.642516533731443
4 1 20 0.583514967274302
4 1 20 0.58076227702521
4 1 20 0.722393487225894
5 1 20 0.579531448120296
3 1 20 0.666027375216546
5 1 20 0.532291918619228
6 1 20 0.446243441516691
5 1 20 0.542001183737133
7 1 20 0.422317639563933
6 1 20 0.508133505610656
6 1 20 0.456839936034832
6 1 20 0.426138676524369
6 1 20 0.545359021256455
9 21 20 0.384459347669191
9 1 20 0.519255817871497
