"O_trunc" "O_eps" "eps_speed" "prob"
2 0 1 0.9
2 0 1 0.899384407841966
2 0 1 0.9
2 -0.142857142857143 0.857142857142857 0.87127043142896
2 0 0.833333333333333 0.856009700263683
1 0 0.714285714285714 0.853143984247758
3 0.166666666666667 1.16666666666667 0.9
2 0.714285714285714 0.714285714285714 0.874372632504867
2 -0.142857142857143 0.857142857142857 0.873455096660603
2 0 1 0.9
2 0 1 0.9
2 0.166666666666667 1.16666666666667 0.9
1 -1 1.16666666666667 0.9
1 0 1 0.9
1 -0.666666666666667 1.33333333333333 0.9
