"O_trunc" "O_eps" "eps_speed" "prob"
28 1 20 0.647780072228607
28 1 20 0.647780072228607
28 1 20 0.647780072228607
28 1 20 0.647780072228607
19 2 20 0.522404510236371
20 21 20 0.545020869972858
20 21 20 0.545020869882473
19 2 20 0.530263323526674
28 21 20 0.4153335287651
28 1 20 0.647780072228607
25 22 20 0.498867622777208
27 21 20 0.535891157294051
27 21 20 0.458750113303204
28 1 20 0.647780072228607
28 1 20 0.647780072228607
28 1 20 0.647780072228607
28 1 20 0.647780072228607
28 1 20 0.647780072228607
28 1 20 0.647780072228607
28 1 20 0.647780072228607
28 1 20 0.647780072228607
28 1 20 0.647780072228607
28 21 20 0.395752001619311
28 21 20 0.4153335287651
28 1 20 0.647780072228607
28 1 20 0.647780072228607
28 21 20 0.395752001619311
28 21 20 0.4153335287651
28 1 20 0.647780072228607
28 1 20 0.647780072228607
28 1 20 0.647780072228607
28 1 20 0.647780072228607
28 1 20 0.647780072228607
28 1 20 0.647780072228607
28 1 20 0.647780072228607
28 21 20 0.395752001619311
28 21 20 0.4153335287651
28 1 20 0.647780072228607
28 1 20 0.647780072228607
18 2 20 0.522153401444986
17 21 20 0.544987659543556
17 21 20 0.544979762966154
18 21 20 0.544989044312909
16 2 20 0.538250528490387
28 1 20 0.647780072228607
28 1 20 0.647780072228607
28 1 20 0.647780072228607
28 1 20 0.647780072228607
28 1 20 0.647780072228607
28 1 20 0.647780072228607
