"O_trunc" "O_eps" "eps_speed" "prob"
1 1 0.833333333333333 0.9
0 1 0.714285714285714 0.893578462176043
0 1 0.714285714285714 0.882293284347827
1 1 0.833333333333333 0.878634409744699
2 1.71428571428571 0.714285714285714 0.876326739621471
1 1 0.833333333333333 0.9
1 1 0.714285714285714 0.872851317400853
1 1 0.571428571428571 0.842791034893166
1 1 0.714285714285714 0.890282942859268
1 1 0.714285714285714 0.890528422572785
1 1 0.833333333333333 0.899689396714863
0 1 0.857142857142857 0.9
0 1 0.714285714285714 0.9
0 1 0.833333333333333 0.9
0 1 0.833333333333333 0.9
